search_date,search_site,url,company_name,model_name,price,CPU,memory,SSD,PCIe,display_size,display_res_width,display_res_height,display_touch,display_glare,display_vote,keyboard_light,keyboard_vote,battery_size,battery_time1,battery_time2,weight,DVD,SIM,LAN_port,USB30,USB31,output_HDMI,output_VGA,SDcard,MSoffice
20160717,official,http://shopap.lenovo.com/jp/notebooks/thinkpad/x-series/x1-carbon/#tab-customize,Lenovo,ThinkPad X1 Carbon,156298,Core i5-6200U,8,256,1,14,1920,1080,0,0,1,1,1,52,9.8,5.62,1.18,0,0,0,3,0,1,0,1,0
20160717,official,http://shopap.lenovo.com/jp/notebooks/thinkpad/x-series/x1-carbon/#tab-customize,Lenovo,ThinkPad X1 Carbon,167152,Core i7-6500U,8,256,1,14,1920,1080,0,0,1,1,1,52,9.8,5.62,1.18,0,0,0,3,0,1,0,1,0
20160717,official,http://shopap.lenovo.com/jp/notebooks/thinkpad/x-series/x1-carbon/#tab-customize,Lenovo,ThinkPad X1 Carbon,139655,Core i5-6200U,4,128,0,14,1920,1080,0,0,1,1,1,52,9.8,5.62,1.18,0,0,0,3,0,1,0,1,0
20160717,official,http://shopap.lenovo.com/jp/notebooks/thinkpad/x-series/x1-carbon/#tab-customize,Lenovo,ThinkPad X1 Carbon,196096,Core i7-6600U,8,512,0,14,2560,1440,0,0,1,1,1,52,9.8,5.62,1.18,0,0,0,3,0,1,0,1,0
20160717,official,http://shopap.lenovo.com/jp/notebooks/thinkpad/x-series/x1-carbon/#tab-customize,Lenovo,ThinkPad X1 Carbon,196819,Core i7-6600U,16,256,1,14,1920,1080,0,0,1,1,1,52,9.8,5.62,1.18,0,0,0,3,0,1,0,1,0
20160717,official,http://www.dell.com/jp/p/xps-13-9350-laptop/pd,Dell,XPS 13,118778,Core i5-6200U,4,128,0,13.3,1920,1080,0,0,0,1,0,56,18,5.5,1.2,0,0,0,2,1,0,0,1,0
20160717,official,http://www.dell.com/jp/p/xps-13-9350-laptop/pd,Dell,XPS 13,156578,Core i5-6200U,8,256,1,13.3,1920,1080,0,0,0,1,0,56,18,5.5,1.2,0,0,0,2,1,0,0,1,0
20160717,official,http://www.dell.com/jp/p/xps-13-9350-laptop/pd,Dell,XPS 13,167378,Core i7-6560U,8,256,1,13.3,1920,1080,0,0,0,1,0,56,18,5.5,1.2,0,0,0,2,1,0,0,1,0
20160717,official,http://www.dell.com/jp/p/xps-13-9350-laptop/pd,Dell,XPS 13,183578,Core i7-6560U,8,256,1,13.3,3200,1800,1,1,0,1,0,56,18,5.5,1.29,0,0,0,2,1,0,0,1,0
20160717,official,http://www.necdirect.jp/shop/note/lavie/hz/,NEC,LAVIE Direct HZ,132840,Core i5-6200U,4,128,0,13.3,2560,1440,0,0,0,0,0,29.6,9,3.73,0.779,0,0,0,2,0,1,0,1,0
20160717,official,http://www.necdirect.jp/shop/note/lavie/hz/,NEC,LAVIE Direct HZ,165024,Core i7-6500U,8,256,0,13.3,2560,1440,0,0,0,0,0,29.6,9,3.73,0.779,0,0,0,2,0,1,0,1,0
20160717,official,http://www.necdirect.jp/shop/note/lavie/hz/,NEC,LAVIE Direct HZ,194400,Core i7-6500U,8,512,1,13.3,2560,1440,0,0,0,0,0,29.6,9,3.73,0.779,0,0,0,2,0,1,0,1,0
20160717,official,http://www.necdirect.jp/shop/note/lavie/hz/,NEC,LAVIE Direct HZ,178740,Core i7-6500U,8,256,0,13.3,2560,1440,1,1,0,0,0,44.4,11.6,4.23,0.926,0,0,0,2,0,1,0,1,0
20160717,official,http://www.necdirect.jp/shop/note/lavie/hz/,NEC,LAVIE Direct HZ,208116,Core i7-6500U,8,512,1,13.3,2560,1440,1,1,0,0,0,44.4,11.6,4.23,0.926,0,0,0,2,0,1,0,1,0
20160717,kakaku,http://kakaku.com/item/K0000855827/,Panasonic,Let's note SZ5,156800,Core i5-6300U,4,128,0,12.1,1920,1200,0,0,0,0,0,NA,11.5,NA,0.875,0,1,1,3,0,1,1,1,0
20160717,kakaku,http://kakaku.com/item/K0000855828/,Panasonic,Let's note SZ5,219427,Core i5-6300U,8,256,0,12.1,1920,1200,0,0,0,0,0,NA,13,NA,0.849,0,0,1,3,0,1,1,1,0
20160717,kakaku,http://kakaku.com/item/K0000854056/,Panasonic,Let's note SZ5,223340,Core i5-6300U,8,256,0,12.1,1920,1200,0,0,0,0,0,NA,13,NA,0.929,1,0,1,3,0,1,1,1,0
20160717,kakaku,http://kakaku.com/item/K0000881729/,Panasonic,Let's note SZ5,224068,Core i7-6500U,8,256,0,12.1,1920,1200,0,0,0,0,0,NA,21,NA,1.025,1,0,1,3,0,1,1,1,1
20160717,kakaku,http://kakaku.com/item/K0000881730/,Panasonic,Let's note SZ5,243541,Core i7-6500U,8,256,0,12.1,1920,1200,0,0,0,0,0,NA,21,NA,1.05,1,1,1,3,0,1,1,1,1
20160717,kakaku,http://kakaku.com/item/K0000845632/,Panasonic,Let's note MX5,178143,Core i5-6200U,8,128,0,12.5,1920,1080,1,1,0,0,0,NA,12,NA,1.198,1,0,1,2,0,1,1,1,1
20160717,kakaku,http://kakaku.com/item/K0000855633/,Panasonic,Let's note MX5,218000,Core i5-6300U,8,256,0,12.5,1920,1080,1,1,0,0,0,NA,11,NA,1.198,1,0,1,2,0,1,1,1,0
20160717,kakaku,http://kakaku.com/item/K0000881723/,Panasonic,Let's note MX5,256000,Core i7-6500U,8,256,0,12.5,1920,1080,1,1,0,0,0,NA,12,NA,1.255,1,1,1,2,0,1,1,1,1
20160717,official,"http://www.fujitsu-webmart.com/pc/search?kind=2,9&series=1220&open=series,price,spec",Fujitsu,LIFEBOOK WS1/W,149604,Core i5-6200U,4,256,0,13.3,1920,1080,0,0,1,0,0,51,10.8,5.23,1.2,0,0,1,3,0,1,1,1,0
20160717,official,"http://www.fujitsu-webmart.com/pc/search?kind=2,9&series=1220&open=series,price,spec",Fujitsu,LIFEBOOK WS1/W,157380,Core i5-6200U,8,256,0,13.3,1920,1080,0,0,1,0,0,51,10.8,5.23,1.2,0,0,1,3,0,1,1,1,0
20160717,official,"http://www.fujitsu-webmart.com/pc/search?kind=2,9&series=1220&open=series,price,spec",Fujitsu,LIFEBOOK WS1/W,172932,Core i7-6500U,8,256,0,13.3,1920,1080,0,0,1,0,0,51,10.6,5.23,1.2,0,0,1,3,0,1,1,1,0
20160717,official,"http://www.fujitsu-webmart.com/pc/search?kind=2,9&series=1220&open=series,price,spec",Fujitsu,LIFEBOOK WS1/W,176820,Core i7-6500U,8,256,0,13.3,2560,1440,0,0,1,0,0,51,9.3,NA,1.2,0,0,1,3,0,1,1,1,0
20160717,official,"http://www.fujitsu-webmart.com/pc/search?kind=2,9&series=1220&open=series,price,spec",Fujitsu,LIFEBOOK WS1/W,179556,Core i7-6500U,8,256,0,13.3,2560,1440,1,1,1,0,0,51,9.3,NA,1.32,0,0,1,3,0,1,1,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,169344,Core i5-6267U,4,128,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,201744,Core i5-6267U,8,256,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,223344,Core i7-6567U,8,256,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,234144,Core i7-6567U,16,256,1,13.3,1920,1080,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,253044,Core i7-6567U,16,256,1,13.3,2560,1440,0,0,0,1,0,58,20.9,5.13,1.17,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,215784,Core i5-6267U,8,128,1,13.3,2560,1440,1,1,0,1,0,58,19.4,NA,1.35,0,0,0,2,0,1,0,1,0
20160717,official,http://pur.store.sony.jp/vaio/products/z131/VJZ1311_purchase/,VAIO,VAIO Z,269784,Core i7-6567U,16,256,1,13.3,2560,1440,1,1,0,1,0,58,19.4,NA,1.35,0,0,0,2,0,1,0,1,0
